Date,Open,High,Low,Close,Volume
27-Sep-17,72.19,72.97,71.91,72.28,18036560
26-Sep-17,70.85,71.24,70.51,70.94,11553776
25-Sep-17,71.21,71.51,70.32,70.84,10762772
22-Sep-17,71.60,71.64,71.01,71.40,10446623
21-Sep-17,71.45,72.13,71.15,71.76,11509157
20-Sep-17,71.38,72.20,70.82,71.46,19788127
19-Sep-17,70.30,71.70,70.30,71.15,15466007
18-Sep-17,69.38,70.93,69.27,70.60,18027783
15-Sep-17,69.12,69.38,68.90,69.04,18360910
14-Sep-17,69.35,69.75,69.21,69.24,15022089
13-Sep-17,68.69,69.53,68.46,69.39,17467281
12-Sep-17,68.22,69.25,68.10,68.79,15495439
11-Sep-17,66.76,67.79,66.37,67.71,17287005
8-Sep-17,65.97,66.92,65.87,66.17,13437956
7-Sep-17,67.38,67.44,65.68,66.06,20307814
6-Sep-17,67.46,67.60,66.85,67.32,11849419
5-Sep-17,67.77,67.94,66.76,67.16,17666243
1-Sep-17,68.11,69.03,67.98,68.58,10720614
31-Aug-17,68.15,68.29,67.74,68.03,12439281
30-Aug-17,67.70,68.39,67.69,68.01,9152007
29-Aug-17,66.70,67.77,66.51,67.48,12447985
28-Aug-17,68.08,68.18,67.43,67.81,10797585
25-Aug-17,67.80,68.24,67.71,67.85,11883138
24-Aug-17,67.45,67.91,66.95,67.69,11524823
23-Aug-17,66.21,67.57,66.21,67.23,10031623
22-Aug-17,66.29,66.93,66.25,66.85,13246992
21-Aug-17,66.58,66.78,65.86,65.95,15791091
18-Aug-17,66.39,67.36,66.18,66.58,13628933
17-Aug-17,67.31,67.65,66.51,66.60,14487868
16-Aug-17,68.15,68.37,67.39,67.71,15064540
15-Aug-17,68.58,68.96,67.88,67.97,15471998
14-Aug-17,67.61,68.13,67.41,67.89,15120179
11-Aug-17,67.07,67.47,66.59,66.80,15172831
10-Aug-17,68.00,68.13,67.15,67.22,19147240
9-Aug-17,68.12,68.48,67.92,68.43,19195725
8-Aug-17,69.00,69.86,68.82,68.88,16645925
7-Aug-17,69.13,69.26,68.70,69.04,12961055
4-Aug-17,68.79,69.41,68.71,68.98,18148439
3-Aug-17,68.93,69.20,68.01,68.13,20937926
2-Aug-17,69.57,69.65,68.82,69.42,19095587
1-Aug-17,69.09,69.62,68.75,69.60,22974747
31-Jul-17,-,68.65,-,68.45,23059294
28-Jul-17,67.42,67.77,67.00,67.43,13604466
27-Jul-17,68.00,68.72,67.36,67.60,22650180
26-Jul-17,68.47,68.84,67.79,67.98,19228529
25-Jul-17,67.93,68.42,67.81,68.03,30833581
24-Jul-17,65.92,66.43,65.91,66.10,14848396
21-Jul-17,66.10,66.44,65.89,66.00,14075511
20-Jul-17,66.62,67.04,66.33,66.36,14027609
19-Jul-17,67.15,67.36,66.50,66.70,12687313
18-Jul-17,66.44,67.10,66.22,66.89,15965929
17-Jul-17,66.76,67.10,66.42,66.83,17497953
14-Jul-17,66.32,66.93,65.52,66.72,20742307
13-Jul-17,67.15,67.29,66.69,67.02,20151962
12-Jul-17,66.76,67.20,66.54,66.92,16881747
11-Jul-17,67.50,67.57,66.60,66.82,17134576
10-Jul-17,67.69,68.04,67.44,67.65,12613789
7-Jul-17,68.03,68.30,67.44,67.91,14735303
6-Jul-17,68.45,68.76,67.57,67.63,17960745
5-Jul-17,68.33,68.73,67.95,68.45,17783139
3-Jul-17,67.24,68.91,67.24,68.26,16488776
30-Jun-17,67.56,67.59,66.72,66.88,15832322
29-Jun-17,67.65,67.75,66.26,66.98,40827165
28-Jun-17,65.00,65.36,64.52,65.18,24015244
27-Jun-17,64.24,64.86,64.01,64.23,16416330
26-Jun-17,63.55,64.12,63.20,63.78,14977979
23-Jun-17,64.05,64.18,63.16,63.41,16395259
22-Jun-17,63.62,63.91,63.34,63.62,11344707
21-Jun-17,63.88,64.26,63.60,63.83,13532830
20-Jun-17,64.31,64.42,63.91,63.91,12162785
19-Jun-17,64.40,64.89,64.26,64.48,13264757
16-Jun-17,64.16,64.23,63.71,63.89,19549889
15-Jun-17,64.31,64.94,63.94,64.10,15111533
14-Jun-17,64.25,64.92,63.50,64.72,20791587
13-Jun-17,64.88,65.26,64.34,64.69,18749028
12-Jun-17,64.51,65.40,64.07,64.32,27444366
9-Jun-17,63.84,64.74,63.51,64.45,31488777
8-Jun-17,61.84,63.82,61.72,63.21,25925685
7-Jun-17,61.21,62.22,61.10,61.88,16056133
6-Jun-17,60.68,61.17,60.44,61.01,10764340
5-Jun-17,61.04,61.77,60.96,61.25,10024923
2-Jun-17,60.33,61.60,60.30,61.11,13643574
1-Jun-17,60.89,61.09,60.16,61.08,13922397
31-May-17,61.59,61.60,59.87,60.54,23150518
30-May-17,61.79,62.07,61.51,61.64,12603786
26-May-17,61.87,62.33,61.65,62.07,10850319
25-May-17,62.25,62.69,61.78,61.95,13368607
24-May-17,61.84,62.44,61.66,62.27,16133164
23-May-17,61.09,61.95,60.73,61.71,12414299
22-May-17,61.41,61.55,60.72,61.06,11744806
19-May-17,60.41,61.76,60.24,61.10,20266630
18-May-17,59.73,60.60,59.10,60.08,25142234
17-May-17,61.40,61.96,59.67,59.98,33251409
16-May-17,61.49,62.58,61.38,62.49,21199543
15-May-17,61.22,61.70,61.09,61.42,14838549
12-May-17,60.36,61.10,60.21,61.07,15393168
11-May-17,60.25,60.92,59.92,60.70,16314044
10-May-17,60.10,60.64,60.00,60.37,11607308
9-May-17,60.65,61.04,60.07,60.23,13179898
8-May-17,60.15,60.73,60.12,60.50,8458260
5-May-17,60.49,60.58,60.10,60.24,11484293
4-May-17,60.70,60.94,60.09,60.21,14509792
3-May-17,59.50,60.33,59.30,60.24,12845294
2-May-17,59.45,59.72,58.93,59.71,11471884
1-May-17,59.39,60.06,59.16,59.46,12879412
28-Apr-17,59.36,59.57,59.05,59.12,11917075
27-Apr-17,59.98,59.99,58.93,59.39,14025915
26-Apr-17,60.04,60.70,59.96,60.10,16057953
25-Apr-17,60.08,60.79,60.00,60.21,21593519
24-Apr-17,59.18,59.71,59.07,59.44,24400342
21-Apr-17,58.38,58.44,57.63,57.72,15255858
20-Apr-17,58.17,58.65,57.55,58.41,17074763
19-Apr-17,58.85,59.10,57.60,57.73,18104168
18-Apr-17,58.58,58.89,58.07,58.42,16890955
17-Apr-17,58.36,59.06,57.92,58.99,14657279
13-Apr-17,58.30,59.73,57.68,58.04,31784350
12-Apr-17,59.09,59.12,58.27,58.51,15223437
11-Apr-17,58.68,59.05,58.08,59.03,15247753
10-Apr-17,59.36,59.98,58.98,59.28,12096712
7-Apr-17,59.33,59.88,59.26,59.43,13449323
6-Apr-17,59.44,60.23,59.01,59.89,13805963
5-Apr-17,60.50,61.02,59.53,59.59,20295245
4-Apr-17,59.29,59.95,59.20,59.68,9745614
3-Apr-17,59.93,60.09,58.65,59.68,15460515
31-Mar-17,60.31,60.51,59.79,59.82,14407879
30-Mar-17,59.39,60.83,59.36,60.51,14886187
29-Mar-17,59.53,59.88,59.27,59.39,13457439
28-Mar-17,58.19,59.66,58.12,59.42,15391117
27-Mar-17,56.85,58.45,56.55,58.33,17257171
24-Mar-17,58.33,58.54,57.60,58.07,13504446
23-Mar-17,57.76,58.82,57.53,58.05,16916534
22-Mar-17,57.41,58.39,56.90,57.77,25648496
21-Mar-17,60.13,60.20,57.95,58.04,34140442
20-Mar-17,60.10,60.38,59.59,59.59,14813762
17-Mar-17,61.16,61.27,60.20,60.37,32281850
16-Mar-17,61.05,61.41,60.77,61.15,15198253
15-Mar-17,61.70,61.78,60.46,60.84,20086941
14-Mar-17,61.33,61.47,60.81,61.44,11819667
13-Mar-17,61.54,61.79,60.98,61.53,13481512
10-Mar-17,61.94,62.03,60.92,61.49,17421872
9-Mar-17,61.36,62.09,61.23,61.55,21429345
8-Mar-17,61.56,62.53,61.06,61.11,30723959
7-Mar-17,60.19,60.71,59.78,60.50,17297849
6-Mar-17,60.80,60.88,60.26,60.28,14979380
3-Mar-17,60.39,61.25,60.33,61.00,15188780
2-Mar-17,61.68,61.87,60.59,60.63,17270346
1-Mar-17,61.20,61.94,61.00,61.54,26421724
28-Feb-17,59.67,60.09,59.48,59.81,17237455
27-Feb-17,59.56,60.24,59.41,60.02,15711367
24-Feb-17,59.88,60.18,59.11,59.56,19900288
23-Feb-17,60.64,60.84,60.23,60.62,14624376
22-Feb-17,60.18,60.95,60.02,60.62,16025724
21-Feb-17,60.29,60.69,60.23,60.55,15812721
17-Feb-17,59.70,60.17,59.40,60.17,15120623
16-Feb-17,60.35,60.50,59.76,60.38,15916578
15-Feb-17,60.16,60.87,59.70,60.50,22423933
14-Feb-17,59.00,60.11,58.75,59.83,22359291
13-Feb-17,57.99,59.36,57.99,58.95,22779759
10-Feb-17,57.82,57.95,57.13,57.63,14421653
9-Feb-17,56.65,57.54,56.37,57.26,18054082
8-Feb-17,56.92,56.92,56.14,56.32,18626642
7-Feb-17,58.00,58.07,57.01,57.19,13996938
6-Feb-17,57.51,58.35,57.34,57.64,15680214
3-Feb-17,57.04,57.88,56.59,57.76,21404139
2-Feb-17,55.49,56.21,55.23,55.98,15586814
1-Feb-17,56.72,56.98,55.88,56.05,17441473
31-Jan-17,56.33,56.96,55.58,55.83,29221002
30-Jan-17,56.51,56.68,55.76,56.61,17537643
27-Jan-17,57.39,57.41,56.72,57.11,17074243
26-Jan-17,57.60,57.98,57.05,57.36,20792703
25-Jan-17,57.90,57.92,57.10,57.69,21492914
24-Jan-17,55.96,57.15,55.68,56.74,18416436
23-Jan-17,56.12,56.29,55.42,55.68,23130215
20-Jan-17,56.95,57.12,56.03,56.11,27722281
19-Jan-17,57.53,57.60,56.39,56.66,24932449
18-Jan-17,57.99,58.28,57.10,57.39,29276183
17-Jan-17,59.01,59.32,58.03,58.38,25013769
13-Jan-17,59.45,60.32,59.38,59.63,21045164
12-Jan-17,59.53,59.82,58.76,59.23,22778873
11-Jan-17,59.66,60.00,59.24,59.96,20737634
10-Jan-17,60.20,60.85,59.95,60.23,13483329
9-Jan-17,60.15,60.64,59.67,60.22,14592998
6-Jan-17,60.68,60.84,60.08,60.55,16778439
5-Jan-17,60.97,61.43,59.91,60.34,18317911
4-Jan-17,60.69,61.63,60.61,61.41,16947520
3-Jan-17,60.68,61.09,59.75,60.59,18322398
30-Dec-16,59.50,59.80,59.19,59.43,16588499
29-Dec-16,60.02,60.12,58.68,59.38,17121238
28-Dec-16,61.00,61.20,59.98,60.04,17127359
27-Dec-16,61.03,61.30,60.85,61.09,9544019
23-Dec-16,60.53,61.00,60.38,60.99,9313992
22-Dec-16,60.66,60.93,60.41,60.49,14571095
21-Dec-16,60.70,60.91,60.15,60.75,15090176
20-Dec-16,59.92,60.80,59.92,60.80,23439760
19-Dec-16,59.49,59.78,58.92,59.66,17654398
16-Dec-16,60.59,60.61,59.64,59.75,28405907
15-Dec-16,60.10,60.62,59.56,60.23,22389343
14-Dec-16,58.96,60.80,58.83,59.45,31399364
13-Dec-16,59.63,59.97,58.76,59.79,22014524
12-Dec-16,59.45,60.09,58.87,59.55,21879371
9-Dec-16,59.96,60.22,59.22,60.04,22804941
8-Dec-16,59.40,60.80,59.04,60.15,32535971
7-Dec-16,57.89,59.16,57.89,59.06,30517614
6-Dec-16,57.98,58.08,57.00,57.92,21487547
5-Dec-16,56.61,57.53,56.58,57.28,24404549
2-Dec-16,57.20,57.24,55.93,56.02,25110311
1-Dec-16,56.77,57.57,56.54,57.27,27592511
